loop,topic,facet,query,started_at,completed_at,provider,http_status,outcome,evidence_count,artifact
102,recursive improvement,case study,"""recursive improvement"" case study",2026-07-11T14:08:55.822869+00:00,2026-07-11T14:08:56.506384+00:00,Crossref REST API,200,productive,3,artifacts/102--recursive-improvement--case-study.json
103,recursive improvement,empirical evidence,"""recursive improvement"" empirical evidence",2026-07-11T14:08:55.920600+00:00,2026-07-11T14:08:56.439137+00:00,Crossref REST API,200,productive,3,artifacts/103--recursive-improvement--empirical-evidence.json
104,recursive improvement,governance,"""recursive improvement"" governance",2026-07-11T14:08:55.945900+00:00,2026-07-11T14:08:56.518079+00:00,Crossref REST API,200,productive,3,artifacts/104--recursive-improvement--governance.json
105,recursive improvement,failure,"""recursive improvement"" failure",2026-07-11T14:08:56.025553+00:00,2026-07-11T14:08:56.510542+00:00,Crossref REST API,200,productive,3,artifacts/105--recursive-improvement--failure.json
106,recursive improvement,measurement,"""recursive improvement"" measurement",2026-07-11T14:08:56.285487+00:00,2026-07-11T14:08:56.811117+00:00,Crossref REST API,200,productive,3,artifacts/106--recursive-improvement--measurement.json
107,recursive improvement,feedback loop,"""recursive improvement"" feedback loop",2026-07-11T14:08:56.295581+00:00,2026-07-11T14:08:56.885843+00:00,Crossref REST API,200,productive,3,artifacts/107--recursive-improvement--feedback-loop.json
108,recursive improvement,human oversight,"""recursive improvement"" human oversight",2026-07-11T14:08:56.361771+00:00,2026-07-11T14:08:56.941413+00:00,Crossref REST API,200,productive,3,artifacts/108--recursive-improvement--human-oversight.json
109,recursive improvement,production deployment,"""recursive improvement"" production deployment",2026-07-11T14:08:56.439238+00:00,2026-07-11T14:08:57.067172+00:00,Crossref REST API,200,productive,3,artifacts/109--recursive-improvement--production-deployment.json
110,recursive improvement,evaluation,"""recursive improvement"" evaluation",2026-07-11T14:08:56.465192+00:00,2026-07-11T14:08:57.072007+00:00,Crossref REST API,200,productive,3,artifacts/110--recursive-improvement--evaluation.json
111,continual learning agents,implementation,"""continual learning agents"" implementation",2026-07-11T14:08:56.506535+00:00,2026-07-11T14:08:57.166300+00:00,Crossref REST API,200,productive,3,artifacts/111--continual-learning-agents--implementation.json
112,continual learning agents,case study,"""continual learning agents"" case study",2026-07-11T14:08:56.510626+00:00,2026-07-11T14:08:57.175291+00:00,Crossref REST API,200,productive,3,artifacts/112--continual-learning-agents--case-study.json
113,continual learning agents,empirical evidence,"""continual learning agents"" empirical evidence",2026-07-11T14:08:56.518218+00:00,2026-07-11T14:08:57.176895+00:00,Crossref REST API,200,productive,3,artifacts/113--continual-learning-agents--empirical-evidence.json
114,continual learning agents,governance,"""continual learning agents"" governance",2026-07-11T14:08:56.811235+00:00,2026-07-11T14:08:57.382718+00:00,Crossref REST API,200,productive,3,artifacts/114--continual-learning-agents--governance.json
115,continual learning agents,failure,"""continual learning agents"" failure",2026-07-11T14:08:56.885955+00:00,2026-07-11T14:08:57.457966+00:00,Crossref REST API,200,productive,3,artifacts/115--continual-learning-agents--failure.json
116,continual learning agents,measurement,"""continual learning agents"" measurement",2026-07-11T14:08:56.941556+00:00,2026-07-11T14:08:57.486416+00:00,Crossref REST API,200,productive,3,artifacts/116--continual-learning-agents--measurement.json
117,continual learning agents,feedback loop,"""continual learning agents"" feedback loop",2026-07-11T14:08:57.067286+00:00,2026-07-11T14:08:57.597679+00:00,Crossref REST API,200,productive,3,artifacts/117--continual-learning-agents--feedback-loop.json
118,continual learning agents,human oversight,"""continual learning agents"" human oversight",2026-07-11T14:08:57.072105+00:00,2026-07-11T14:08:57.607714+00:00,Crossref REST API,200,productive,3,artifacts/118--continual-learning-agents--human-oversight.json
119,continual learning agents,production deployment,"""continual learning agents"" production deployment",2026-07-11T14:08:57.166413+00:00,2026-07-11T14:08:57.752219+00:00,Crossref REST API,200,productive,3,artifacts/119--continual-learning-agents--production-deployment.json
120,continual learning agents,evaluation,"""continual learning agents"" evaluation",2026-07-11T14:08:57.175413+00:00,2026-07-11T14:08:57.765263+00:00,Crossref REST API,200,productive,3,artifacts/120--continual-learning-agents--evaluation.json
121,automated experimentation,implementation,"""automated experimentation"" implementation",2026-07-11T14:08:57.176988+00:00,2026-07-11T14:08:57.749497+00:00,Crossref REST API,200,productive,3,artifacts/121--automated-experimentation--implementation.json
122,automated experimentation,case study,"""automated experimentation"" case study",2026-07-11T14:08:57.382871+00:00,2026-07-11T14:08:57.912079+00:00,Crossref REST API,200,productive,3,artifacts/122--automated-experimentation--case-study.json
123,automated experimentation,empirical evidence,"""automated experimentation"" empirical evidence",2026-07-11T14:08:57.458114+00:00,2026-07-11T14:08:57.972461+00:00,Crossref REST API,200,productive,3,artifacts/123--automated-experimentation--empirical-evidence.json
124,automated experimentation,governance,"""automated experimentation"" governance",2026-07-11T14:08:57.486547+00:00,2026-07-11T14:08:58.020820+00:00,Crossref REST API,200,productive,3,artifacts/124--automated-experimentation--governance.json
125,automated experimentation,failure,"""automated experimentation"" failure",2026-07-11T14:08:57.597802+00:00,2026-07-11T14:08:58.131353+00:00,Crossref REST API,200,productive,3,artifacts/125--automated-experimentation--failure.json
126,automated experimentation,measurement,"""automated experimentation"" measurement",2026-07-11T14:08:57.607850+00:00,2026-07-11T14:08:58.177648+00:00,Crossref REST API,200,productive,3,artifacts/126--automated-experimentation--measurement.json
127,automated experimentation,feedback loop,"""automated experimentation"" feedback loop",2026-07-11T14:08:57.749599+00:00,2026-07-11T14:08:58.376501+00:00,Crossref REST API,200,productive,3,artifacts/127--automated-experimentation--feedback-loop.json
128,automated experimentation,human oversight,"""automated experimentation"" human oversight",2026-07-11T14:08:57.752316+00:00,2026-07-11T14:08:58.382346+00:00,Crossref REST API,200,productive,3,artifacts/128--automated-experimentation--human-oversight.json
129,automated experimentation,production deployment,"""automated experimentation"" production deployment",2026-07-11T14:08:57.765393+00:00,2026-07-11T14:08:58.310543+00:00,Crossref REST API,200,productive,3,artifacts/129--automated-experimentation--production-deployment.json
130,automated experimentation,evaluation,"""automated experimentation"" evaluation",2026-07-11T14:08:57.912200+00:00,2026-07-11T14:08:58.434747+00:00,Crossref REST API,200,productive,3,artifacts/130--automated-experimentation--evaluation.json
131,self optimizing product,implementation,"""self optimizing product"" implementation",2026-07-11T14:08:57.972604+00:00,2026-07-11T14:08:58.587699+00:00,Crossref REST API,200,productive,3,artifacts/131--self-optimizing-product--implementation.json
132,self optimizing product,case study,"""self optimizing product"" case study",2026-07-11T14:08:58.020941+00:00,2026-07-11T14:08:58.698591+00:00,Crossref REST API,200,productive,3,artifacts/132--self-optimizing-product--case-study.json
133,self optimizing product,empirical evidence,"""self optimizing product"" empirical evidence",2026-07-11T14:08:58.131482+00:00,2026-07-11T14:08:58.704643+00:00,Crossref REST API,200,productive,3,artifacts/133--self-optimizing-product--empirical-evidence.json
134,self optimizing product,governance,"""self optimizing product"" governance",2026-07-11T14:08:58.177769+00:00,2026-07-11T14:08:58.751811+00:00,Crossref REST API,200,productive,3,artifacts/134--self-optimizing-product--governance.json
135,self optimizing product,failure,"""self optimizing product"" failure",2026-07-11T14:08:58.310644+00:00,2026-07-11T14:08:58.849401+00:00,Crossref REST API,200,productive,3,artifacts/135--self-optimizing-product--failure.json
136,self optimizing product,measurement,"""self optimizing product"" measurement",2026-07-11T14:08:58.376641+00:00,2026-07-11T14:08:58.968712+00:00,Crossref REST API,200,productive,3,artifacts/136--self-optimizing-product--measurement.json
137,self optimizing product,feedback loop,"""self optimizing product"" feedback loop",2026-07-11T14:08:58.382453+00:00,2026-07-11T14:08:59.025212+00:00,Crossref REST API,200,productive,3,artifacts/137--self-optimizing-product--feedback-loop.json
138,self optimizing product,human oversight,"""self optimizing product"" human oversight",2026-07-11T14:08:58.434881+00:00,2026-07-11T14:08:59.050170+00:00,Crossref REST API,200,productive,3,artifacts/138--self-optimizing-product--human-oversight.json
139,self optimizing product,production deployment,"""self optimizing product"" production deployment",2026-07-11T14:08:58.587836+00:00,2026-07-11T14:08:59.325500+00:00,Crossref REST API,200,productive,3,artifacts/139--self-optimizing-product--production-deployment.json
140,self optimizing product,evaluation,"""self optimizing product"" evaluation",2026-07-11T14:08:58.698749+00:00,2026-07-11T14:08:59.362959+00:00,Crossref REST API,200,productive,3,artifacts/140--self-optimizing-product--evaluation.json
141,agent monitoring repair,implementation,"""agent monitoring repair"" implementation",2026-07-11T14:08:58.704734+00:00,2026-07-11T14:08:59.386365+00:00,Crossref REST API,200,productive,3,artifacts/141--agent-monitoring-repair--implementation.json
142,agent monitoring repair,case study,"""agent monitoring repair"" case study",2026-07-11T14:08:58.751921+00:00,2026-07-11T14:08:59.654007+00:00,Crossref REST API,200,productive,3,artifacts/142--agent-monitoring-repair--case-study.json
143,agent monitoring repair,empirical evidence,"""agent monitoring repair"" empirical evidence",2026-07-11T14:08:58.849551+00:00,2026-07-11T14:08:59.429648+00:00,Crossref REST API,200,productive,3,artifacts/143--agent-monitoring-repair--empirical-evidence.json
144,agent monitoring repair,governance,"""agent monitoring repair"" governance",2026-07-11T14:08:58.968824+00:00,2026-07-11T14:08:59.607173+00:00,Crossref REST API,200,productive,3,artifacts/144--agent-monitoring-repair--governance.json
145,agent monitoring repair,failure,"""agent monitoring repair"" failure",2026-07-11T14:08:59.025353+00:00,2026-07-11T14:08:59.676548+00:00,Crossref REST API,200,productive,3,artifacts/145--agent-monitoring-repair--failure.json
146,agent monitoring repair,measurement,"""agent monitoring repair"" measurement",2026-07-11T14:08:59.050284+00:00,2026-07-11T14:08:59.717307+00:00,Crossref REST API,200,productive,3,artifacts/146--agent-monitoring-repair--measurement.json
147,agent monitoring repair,feedback loop,"""agent monitoring repair"" feedback loop",2026-07-11T14:08:59.325636+00:00,2026-07-11T14:08:59.921768+00:00,Crossref REST API,200,productive,3,artifacts/147--agent-monitoring-repair--feedback-loop.json
148,agent monitoring repair,human oversight,"""agent monitoring repair"" human oversight",2026-07-11T14:08:59.363081+00:00,2026-07-11T14:08:59.930732+00:00,Crossref REST API,200,productive,3,artifacts/148--agent-monitoring-repair--human-oversight.json
149,agent monitoring repair,production deployment,"""agent monitoring repair"" production deployment",2026-07-11T14:08:59.386502+00:00,2026-07-11T14:08:59.932432+00:00,Crossref REST API,200,productive,3,artifacts/149--agent-monitoring-repair--production-deployment.json
150,agent monitoring repair,evaluation,"""agent monitoring repair"" evaluation",2026-07-11T14:08:59.429751+00:00,2026-07-11T14:08:59.947409+00:00,Crossref REST API,200,productive,3,artifacts/150--agent-monitoring-repair--evaluation.json
151,eval driven development,implementation,"""eval driven development"" implementation",2026-07-11T14:08:59.607275+00:00,2026-07-11T14:09:00.123460+00:00,Crossref REST API,200,productive,3,artifacts/151--eval-driven-development--implementation.json
152,eval driven development,case study,"""eval driven development"" case study",2026-07-11T14:08:59.654120+00:00,2026-07-11T14:09:00.366102+00:00,Crossref REST API,200,productive,3,artifacts/152--eval-driven-development--case-study.json
153,eval driven development,empirical evidence,"""eval driven development"" empirical evidence",2026-07-11T14:08:59.676694+00:00,2026-07-11T14:09:00.317068+00:00,Crossref REST API,200,productive,3,artifacts/153--eval-driven-development--empirical-evidence.json
154,eval driven development,governance,"""eval driven development"" governance",2026-07-11T14:08:59.717433+00:00,2026-07-11T14:09:00.355499+00:00,Crossref REST API,200,productive,3,artifacts/154--eval-driven-development--governance.json
155,eval driven development,failure,"""eval driven development"" failure",2026-07-11T14:08:59.921885+00:00,2026-07-11T14:09:00.519575+00:00,Crossref REST API,200,productive,3,artifacts/155--eval-driven-development--failure.json
156,eval driven development,measurement,"""eval driven development"" measurement",2026-07-11T14:08:59.930847+00:00,2026-07-11T14:09:00.550211+00:00,Crossref REST API,200,productive,3,artifacts/156--eval-driven-development--measurement.json
157,eval driven development,feedback loop,"""eval driven development"" feedback loop",2026-07-11T14:08:59.932537+00:00,2026-07-11T14:09:00.557077+00:00,Crossref REST API,200,productive,3,artifacts/157--eval-driven-development--feedback-loop.json
158,eval driven development,human oversight,"""eval driven development"" human oversight",2026-07-11T14:08:59.947521+00:00,2026-07-11T14:09:00.621454+00:00,Crossref REST API,200,productive,3,artifacts/158--eval-driven-development--human-oversight.json
159,eval driven development,production deployment,"""eval driven development"" production deployment",2026-07-11T14:09:00.123645+00:00,2026-07-11T14:09:00.747920+00:00,Crossref REST API,200,productive,3,artifacts/159--eval-driven-development--production-deployment.json
160,eval driven development,evaluation,"""eval driven development"" evaluation",2026-07-11T14:09:00.317177+00:00,2026-07-11T14:09:00.880902+00:00,Crossref REST API,200,productive,3,artifacts/160--eval-driven-development--evaluation.json
161,data flywheel,implementation,"""data flywheel"" implementation",2026-07-11T14:09:00.355619+00:00,2026-07-11T14:09:01.062456+00:00,Crossref REST API,200,productive,3,artifacts/161--data-flywheel--implementation.json
162,data flywheel,case study,"""data flywheel"" case study",2026-07-11T14:09:00.366214+00:00,2026-07-11T14:09:01.156206+00:00,Crossref REST API,200,productive,3,artifacts/162--data-flywheel--case-study.json
163,data flywheel,empirical evidence,"""data flywheel"" empirical evidence",2026-07-11T14:09:00.519692+00:00,2026-07-11T14:09:01.356445+00:00,Crossref REST API,200,productive,3,artifacts/163--data-flywheel--empirical-evidence.json
164,data flywheel,governance,"""data flywheel"" governance",2026-07-11T14:09:00.550362+00:00,2026-07-11T14:09:02.270917+00:00,Crossref REST API,200,productive,3,artifacts/164--data-flywheel--governance.json
165,data flywheel,failure,"""data flywheel"" failure",2026-07-11T14:09:00.557203+00:00,2026-07-11T14:09:10.856182+00:00,Crossref REST API,200,productive,3,artifacts/165--data-flywheel--failure.json
166,data flywheel,measurement,"""data flywheel"" measurement",2026-07-11T14:09:00.621603+00:00,2026-07-11T14:09:01.369712+00:00,Crossref REST API,200,productive,3,artifacts/166--data-flywheel--measurement.json
167,data flywheel,feedback loop,"""data flywheel"" feedback loop",2026-07-11T14:09:00.748080+00:00,2026-07-11T14:09:01.449165+00:00,Crossref REST API,200,productive,3,artifacts/167--data-flywheel--feedback-loop.json
168,data flywheel,human oversight,"""data flywheel"" human oversight",2026-07-11T14:09:00.881020+00:00,2026-07-11T14:09:01.544604+00:00,Crossref REST API,200,productive,3,artifacts/168--data-flywheel--human-oversight.json
169,data flywheel,production deployment,"""data flywheel"" production deployment",2026-07-11T14:09:01.062640+00:00,2026-07-11T14:09:01.752745+00:00,Crossref REST API,200,productive,3,artifacts/169--data-flywheel--production-deployment.json
170,data flywheel,evaluation,"""data flywheel"" evaluation",2026-07-11T14:09:01.156331+00:00,2026-07-11T14:09:01.822727+00:00,Crossref REST API,200,productive,3,artifacts/170--data-flywheel--evaluation.json
171,decision intelligence,implementation,"""decision intelligence"" implementation",2026-07-11T14:09:01.356608+00:00,2026-07-11T14:09:02.027547+00:00,Crossref REST API,200,productive,3,artifacts/171--decision-intelligence--implementation.json
172,decision intelligence,case study,"""decision intelligence"" case study",2026-07-11T14:09:01.369847+00:00,2026-07-11T14:09:10.271056+00:00,Crossref REST API,200,productive,3,artifacts/172--decision-intelligence--case-study.json
173,decision intelligence,empirical evidence,"""decision intelligence"" empirical evidence",2026-07-11T14:09:01.449273+00:00,2026-07-11T14:09:11.179463+00:00,Crossref REST API,200,productive,3,artifacts/173--decision-intelligence--empirical-evidence.json
174,decision intelligence,governance,"""decision intelligence"" governance",2026-07-11T14:09:01.544715+00:00,2026-07-11T14:09:02.280170+00:00,Crossref REST API,200,productive,3,artifacts/174--decision-intelligence--governance.json
175,decision intelligence,failure,"""decision intelligence"" failure",2026-07-11T14:09:01.752872+00:00,2026-07-11T14:09:11.094334+00:00,Crossref REST API,200,productive,3,artifacts/175--decision-intelligence--failure.json
176,decision intelligence,measurement,"""decision intelligence"" measurement",2026-07-11T14:09:01.822834+00:00,2026-07-11T14:09:02.540722+00:00,Crossref REST API,200,productive,3,artifacts/176--decision-intelligence--measurement.json
177,decision intelligence,feedback loop,"""decision intelligence"" feedback loop",2026-07-11T14:09:02.027697+00:00,2026-07-11T14:09:10.364342+00:00,Crossref REST API,200,productive,3,artifacts/177--decision-intelligence--feedback-loop.json
178,decision intelligence,human oversight,"""decision intelligence"" human oversight",2026-07-11T14:09:02.271043+00:00,2026-07-11T14:09:11.049031+00:00,Crossref REST API,200,productive,3,artifacts/178--decision-intelligence--human-oversight.json
179,decision intelligence,production deployment,"""decision intelligence"" production deployment",2026-07-11T14:09:02.280277+00:00,2026-07-11T14:09:11.922946+00:00,Crossref REST API,200,productive,3,artifacts/179--decision-intelligence--production-deployment.json
180,decision intelligence,evaluation,"""decision intelligence"" evaluation",2026-07-11T14:09:02.540829+00:00,2026-07-11T14:09:03.100705+00:00,Crossref REST API,200,productive,3,artifacts/180--decision-intelligence--evaluation.json
181,organizational digital twin,implementation,"""organizational digital twin"" implementation",2026-07-11T14:09:03.100808+00:00,2026-07-11T14:09:03.635253+00:00,Crossref REST API,200,productive,3,artifacts/181--organizational-digital-twin--implementation.json
182,organizational digital twin,case study,"""organizational digital twin"" case study",2026-07-11T14:09:03.635369+00:00,2026-07-11T14:09:05.118723+00:00,Crossref REST API,200,productive,3,artifacts/182--organizational-digital-twin--case-study.json
183,organizational digital twin,empirical evidence,"""organizational digital twin"" empirical evidence",2026-07-11T14:09:05.118858+00:00,2026-07-11T14:09:05.634077+00:00,Crossref REST API,200,productive,3,artifacts/183--organizational-digital-twin--empirical-evidence.json
184,organizational digital twin,governance,"""organizational digital twin"" governance",2026-07-11T14:09:05.634186+00:00,2026-07-11T14:09:10.572279+00:00,Crossref REST API,200,productive,3,artifacts/184--organizational-digital-twin--governance.json
185,organizational digital twin,failure,"""organizational digital twin"" failure",2026-07-11T14:09:10.271164+00:00,2026-07-11T14:09:11.873844+00:00,Crossref REST API,200,productive,3,artifacts/185--organizational-digital-twin--failure.json
186,organizational digital twin,measurement,"""organizational digital twin"" measurement",2026-07-11T14:09:10.364454+00:00,2026-07-11T14:09:11.896933+00:00,Crossref REST API,200,productive,3,artifacts/186--organizational-digital-twin--measurement.json
187,organizational digital twin,feedback loop,"""organizational digital twin"" feedback loop",2026-07-11T14:09:10.572385+00:00,2026-07-11T14:09:11.929709+00:00,Crossref REST API,200,productive,3,artifacts/187--organizational-digital-twin--feedback-loop.json
188,organizational digital twin,human oversight,"""organizational digital twin"" human oversight",2026-07-11T14:09:10.856300+00:00,2026-07-11T14:09:11.371583+00:00,Crossref REST API,200,productive,3,artifacts/188--organizational-digital-twin--human-oversight.json
189,organizational digital twin,production deployment,"""organizational digital twin"" production deployment",2026-07-11T14:09:11.049154+00:00,2026-07-11T14:09:11.574551+00:00,Crossref REST API,200,productive,3,artifacts/189--organizational-digital-twin--production-deployment.json
190,organizational digital twin,evaluation,"""organizational digital twin"" evaluation",2026-07-11T14:09:11.094442+00:00,2026-07-11T14:09:12.122264+00:00,Crossref REST API,200,productive,3,artifacts/190--organizational-digital-twin--evaluation.json
191,knowledge creating company,implementation,"""knowledge creating company"" implementation",2026-07-11T14:09:11.179630+00:00,2026-07-11T14:09:11.724324+00:00,Crossref REST API,200,productive,3,artifacts/191--knowledge-creating-company--implementation.json
192,knowledge creating company,case study,"""knowledge creating company"" case study",2026-07-11T14:09:11.371689+00:00,2026-07-11T14:09:11.914814+00:00,Crossref REST API,200,productive,3,artifacts/192--knowledge-creating-company--case-study.json
193,knowledge creating company,empirical evidence,"""knowledge creating company"" empirical evidence",2026-07-11T14:09:11.574654+00:00,2026-07-11T14:09:12.102374+00:00,Crossref REST API,200,productive,3,artifacts/193--knowledge-creating-company--empirical-evidence.json
194,knowledge creating company,governance,"""knowledge creating company"" governance",2026-07-11T14:09:11.724429+00:00,2026-07-11T14:09:12.398121+00:00,Crossref REST API,200,productive,3,artifacts/194--knowledge-creating-company--governance.json
195,knowledge creating company,failure,"""knowledge creating company"" failure",2026-07-11T14:09:11.874005+00:00,2026-07-11T14:09:12.663284+00:00,Crossref REST API,200,productive,3,artifacts/195--knowledge-creating-company--failure.json
196,knowledge creating company,measurement,"""knowledge creating company"" measurement",2026-07-11T14:09:11.897037+00:00,2026-07-11T14:09:12.678348+00:00,Crossref REST API,200,productive,3,artifacts/196--knowledge-creating-company--measurement.json
197,knowledge creating company,feedback loop,"""knowledge creating company"" feedback loop",2026-07-11T14:09:11.914943+00:00,2026-07-11T14:09:12.710573+00:00,Crossref REST API,200,productive,3,artifacts/197--knowledge-creating-company--feedback-loop.json
198,knowledge creating company,human oversight,"""knowledge creating company"" human oversight",2026-07-11T14:09:11.923077+00:00,2026-07-11T14:09:12.600933+00:00,Crossref REST API,200,productive,3,artifacts/198--knowledge-creating-company--human-oversight.json
199,knowledge creating company,production deployment,"""knowledge creating company"" production deployment",2026-07-11T14:09:11.929834+00:00,2026-07-11T14:09:12.736228+00:00,Crossref REST API,200,productive,3,artifacts/199--knowledge-creating-company--production-deployment.json
200,knowledge creating company,evaluation,"""knowledge creating company"" evaluation",2026-07-11T14:09:12.102504+00:00,2026-07-11T14:09:12.764046+00:00,Crossref REST API,200,productive,3,artifacts/200--knowledge-creating-company--evaluation.json
